Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
3,-0.1647,-0.09,0.2477,3.0613,0.1055,1.1997
4,-0.1647,-0.0901,0.2477,3.0613,0.1057,1.1997
5,-0.1648,-0.0902,0.2478,3.0613,0.1061,1.1997
6,-0.1649,-0.0904,0.2479,3.0613,0.1066,1.1997
7,-0.165,-0.0906,0.248,3.0613,0.1073,1.1997
8,-0.1652,-0.0908,0.2481,3.0614,0.1081,1.1997
9,-0.1653,-0.0911,0.2483,3.0614,0.1092,1.1997
10,-0.1656,-0.0915,0.2485,3.0614,0.1104,1.1996
11,-0.1658,-0.0918,0.2487,3.0614,0.1119,1.1996
12,-0.166,-0.0922,0.2489,3.0614,0.1134,1.1996
13,-0.1663,-0.0927,0.2492,3.0615,0.1152,1.1996
14,-0.1666,-0.0933,0.2495,3.0615,0.1172,1.1996
15,-0.167,-0.0938,0.2498,3.0615,0.1196,1.1995
16,-0.1673,-0.0944,0.2501,3.0615,0.1219,1.1995
17,-0.1677,-0.095,0.2504,3.0615,0.1244,1.1995
18,-0.1681,-0.0957,0.2507,3.0615,0.127,1.1995
19,-0.1685,-0.0964,0.2511,3.0616,0.1299,1.1995
20,-0.169,-0.0972,0.2515,3.0616,0.1329,1.1994
21,-0.1694,-0.0979,0.2518,3.0616,0.1364,1.1994
22,-0.1699,-0.0986,0.2522,3.0616,0.1396,1.1994
23,-0.1704,-0.0995,0.2526,3.0616,0.1431,1.1994
24,-0.171,-0.1004,0.2531,3.0616,0.1468,1.1994
25,-0.1716,-0.1012,0.2535,3.0616,0.1509,1.1993
26,-0.1721,-0.1021,0.2539,3.0616,0.1548,1.1993
27,-0.1727,-0.103,0.2544,3.0616,0.1589,1.1993
28,-0.1733,-0.104,0.2548,3.0616,0.1632,1.1993
29,-0.174,-0.105,0.2553,3.0616,0.1677,1.1992
30,-0.1746,-0.1059,0.2558,3.0616,0.1723,1.1992
31,-0.1753,-0.107,0.2563,3.0615,0.1771,1.1992
32,-0.1759,-0.108,0.2568,3.0615,0.1821,1.1992
33,-0.1768,-0.1088,0.256,3.0613,0.1875,1.1993
34,-0.1775,-0.1097,0.2564,3.0611,0.1939,1.1994
35,-0.1782,-0.1105,0.2558,3.0611,0.1995,1.1994
36,-0.1791,-0.1116,0.2562,3.061,0.2057,1.1995
37,-0.1798,-0.1124,0.2557,3.061,0.2114,1.1995
38,-0.1807,-0.1135,0.2562,3.0609,0.2177,1.1995
39,-0.1816,-0.1145,0.2557,3.061,0.2236,1.1995
40,-0.1824,-0.1156,0.2563,3.0609,0.2301,1.1995
41,-0.1833,-0.1167,0.2556,3.0609,0.2363,1.1995
42,-0.1843,-0.1177,0.2552,3.0607,0.2438,1.1996
43,-0.1851,-0.1189,0.256,3.0607,0.2503,1.1996
44,-0.1861,-0.12,0.2553,3.0608,0.2566,1.1995
45,-0.1872,-0.1212,0.2548,3.0606,0.2645,1.1997
46,-0.188,-0.1224,0.2557,3.0606,0.2718,1.1996
47,-0.1889,-0.1235,0.2553,3.0607,0.2781,1.1996
48,-0.19,-0.1248,0.2549,3.0605,0.2855,1.1997
49,-0.191,-0.126,0.2546,3.0604,0.2935,1.1997
50,-0.1921,-0.1273,0.2544,3.0603,0.3014,1.1998
51,-0.1931,-0.1286,0.2543,3.0603,0.3091,1.1998
52,-0.1941,-0.1298,0.2542,3.0602,0.3169,1.1998
53,-0.1953,-0.1313,0.2541,3.0602,0.3248,1.1998
54,-0.1964,-0.1327,0.2541,3.0602,0.3328,1.1998
55,-0.1975,-0.1341,0.254,3.0601,0.3408,1.1998
56,-0.1986,-0.1355,0.2539,3.0601,0.3491,1.1998
57,-0.1998,-0.1369,0.2539,3.06,0.3573,1.1998
58,-0.2009,-0.1383,0.2538,3.06,0.3657,1.1998
59,-0.2021,-0.1398,0.2536,3.06,0.3742,1.1998
60,-0.2033,-0.1413,0.2535,3.0599,0.3828,1.1998
61,-0.2045,-0.1428,0.2534,3.0599,0.3914,1.1998
62,-0.2057,-0.1443,0.2533,3.0598,0.4002,1.1998
63,-0.207,-0.1459,0.2532,3.0598,0.409,1.1998
64,-0.2083,-0.1475,0.2531,3.0597,0.4185,1.1998
65,-0.2094,-0.1489,0.2529,3.0597,0.4272,1.1998
66,-0.2107,-0.1506,0.2528,3.0596,0.4354,1.1999
67,-0.212,-0.1522,0.2526,3.0595,0.4449,1.1998
68,-0.2133,-0.1539,0.2525,3.0595,0.4542,1.1998
69,-0.2147,-0.1555,0.2524,3.0594,0.4635,1.1998
70,-0.216,-0.1572,0.2522,3.0594,0.4729,1.1998
71,-0.2173,-0.1588,0.2521,3.0593,0.4823,1.1998
72,-0.2187,-0.1605,0.2519,3.0592,0.4918,1.1998
73,-0.22,-0.1623,0.2517,3.0592,0.5013,1.1998
