Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
1,-0.1647,-0.09,0.2476,3.0613,0.1054,1.1998
2,-0.1647,-0.09,0.2476,3.0612,0.1054,1.1997
3,-0.1647,-0.09,0.2476,3.0611,0.1054,1.1996
4,-0.1646,-0.09,0.2476,3.0608,0.1054,1.1994
5,-0.1646,-0.0901,0.2475,3.0602,0.1054,1.1991
6,-0.1646,-0.0902,0.2475,3.0593,0.1053,1.1985
7,-0.1646,-0.0903,0.2474,3.0582,0.1053,1.1978
8,-0.1646,-0.0904,0.2473,3.0568,0.1052,1.197
9,-0.1647,-0.0905,0.2472,3.0551,0.1052,1.1959
10,-0.1647,-0.0907,0.2471,3.0531,0.1051,1.1947
11,-0.1648,-0.0909,0.2469,3.051,0.105,1.1935
12,-0.1649,-0.0911,0.2468,3.0484,0.1049,1.1919
13,-0.165,-0.0914,0.2466,3.0456,0.1048,1.1902
14,-0.1651,-0.0917,0.2465,3.0422,0.1047,1.1881
15,-0.1653,-0.092,0.2463,3.039,0.1046,1.1862
16,-0.1655,-0.0924,0.2461,3.0354,0.1045,1.1841
17,-0.1657,-0.0927,0.2459,3.0316,0.1043,1.1817
18,-0.1659,-0.0932,0.2457,3.0275,0.1041,1.1793
19,-0.1662,-0.0936,0.2455,3.0231,0.104,1.1766
20,-0.1665,-0.0941,0.2453,3.0185,0.1038,1.1738
21,-0.1668,-0.0946,0.2451,3.0136,0.1036,1.1709
22,-0.1671,-0.0952,0.2448,3.0084,0.1033,1.1678
23,-0.1674,-0.0957,0.2446,3.0031,0.1031,1.1646
24,-0.1678,-0.0964,0.2444,2.9979,0.1029,1.1615
25,-0.1682,-0.0971,0.2441,2.9918,0.1026,1.1578
26,-0.1686,-0.0978,0.2439,2.9856,0.1023,1.1541
27,-0.1691,-0.0986,0.2436,2.9793,0.102,1.1502
28,-0.1695,-0.0993,0.2434,2.9727,0.1017,1.1463
29,-0.17,-0.1001,0.2431,2.9665,0.1014,1.1425
30,-0.1705,-0.101,0.2429,2.9592,0.101,1.1382
31,-0.171,-0.1018,0.2426,2.9518,0.1006,1.1337
32,-0.1716,-0.1029,0.2423,2.9443,0.1002,1.1292
33,-0.1722,-0.1039,0.2421,2.9367,0.0998,1.1246
34,-0.1729,-0.105,0.2418,2.9288,0.0994,1.1199
35,-0.1736,-0.106,0.2415,2.9201,0.099,1.1147
36,-0.1742,-0.1071,0.2413,2.9121,0.0985,1.1099
37,-0.1749,-0.1083,0.241,2.9038,0.0981,1.1049
38,-0.1755,-0.1093,0.2408,2.8952,0.0976,1.0997
39,-0.1763,-0.1107,0.2405,2.8872,0.0972,1.0949
40,-0.177,-0.1119,0.2403,2.8771,0.0966,1.0888
41,-0.1778,-0.1131,0.24,2.868,0.0961,1.0834
42,-0.1786,-0.1144,0.2398,2.8587,0.0956,1.0778
43,-0.1794,-0.1158,0.2396,2.8491,0.095,1.072
44,-0.1802,-0.1171,0.2393,2.8394,0.0945,1.0662
45,-0.181,-0.1185,0.2391,2.8294,0.0939,1.0602
46,-0.1819,-0.1199,0.2389,2.8193,0.0934,1.0541
47,-0.1828,-0.1215,0.2386,2.809,0.0928,1.0479
48,-0.1838,-0.1229,0.2384,2.7978,0.0921,1.0412
49,-0.1847,-0.1244,0.2382,2.7875,0.0916,1.035
50,-0.1856,-0.1259,0.238,2.7769,0.091,1.0286
51,-0.1865,-0.1274,0.2378,2.7661,0.0903,1.0221
52,-0.1876,-0.1291,0.2376,2.755,0.0897,1.0155
53,-0.1886,-0.1306,0.2374,2.7429,0.089,1.0082
54,-0.1896,-0.1321,0.2372,2.7319,0.0884,1.0017
55,-0.1906,-0.1337,0.237,2.7206,0.0877,0.9949
56,-0.1916,-0.1353,0.2368,2.709,0.0871,0.9879
57,-0.1927,-0.1369,0.2366,2.6972,0.0864,0.9808
58,-0.1938,-0.1385,0.2364,2.6852,0.0857,0.9737
59,-0.1949,-0.1402,0.2363,2.6731,0.085,0.9664
60,-0.1961,-0.142,0.2361,2.6608,0.0844,0.9591
61,-0.1973,-0.1436,0.2359,2.6475,0.0836,0.9511
62,-0.1983,-0.145,0.2358,2.6355,0.0829,0.9439
63,-0.1995,-0.1468,0.2356,2.6241,0.0823,0.9371
64,-0.2005,-0.1483,0.2355,2.6109,0.0815,0.9292
65,-0.2017,-0.1501,0.2353,2.599,0.0808,0.9221
66,-0.203,-0.1519,0.2352,2.5854,0.0801,0.9139
67,-0.2041,-0.1535,0.2351,2.5719,0.0793,0.9059
68,-0.2056,-0.1554,0.2349,2.5585,0.0786,0.8979
69,-0.2067,-0.157,0.2348,2.5451,0.0778,0.8899
70,-0.2082,-0.1589,0.2346,2.5317,0.0771,0.8819
71,-0.2094,-0.1605,0.2345,2.5181,0.0763,0.8738
72,-0.2109,-0.1624,0.2344,2.5045,0.0756,0.8657
